searge,name,side,desc
field_150322_A,sandstone,0,
field_150323_B,noteblock,0,
field_150324_C,bed,0,
field_150318_D,golden_rail,0,
field_150319_E,detector_rail,0,
field_150320_F,sticky_piston,0,
field_150321_G,web,0,
field_150329_H,tallgrass,0,
field_150330_I,deadbush,0,
field_150331_J,piston,0,
field_150332_K,piston_head,0,
field_150325_L,wool,0,
field_150326_M,piston_extension,0,
field_150327_N,yellow_flower,0,
field_150328_O,red_flower,0,
field_150338_P,brown_mushroom,0,
field_150337_Q,red_mushroom,0,
field_150340_R,gold_block,0,
field_150339_S,iron_block,0,
field_150334_T,double_stone_slab,0,
field_150333_U,stone_slab,0,
field_150336_V,brick_block,0,
field_150335_W,tnt,0,
field_150342_X,bookshelf,0,
field_150341_Y,mossy_cobblestone,0,
field_150343_Z,obsidian,0,
field_150350_a,air,0,
field_150429_aA,redstone_torch,0,
field_150430_aB,stone_button,0,
field_150431_aC,snow_layer,0,
field_150432_aD,ice,0,
field_150433_aE,snow,0,
field_150434_aF,cactus,0,
field_150435_aG,clay,0,
field_150436_aH,reeds,0,
field_150421_aI,jukebox,0,
field_150422_aJ,fence,0,
field_150423_aK,pumpkin,0,
field_150424_aL,netherrack,0,
field_150425_aM,soul_sand,0,
field_150426_aN,glowstone,0,
field_150427_aO,portal,0,
field_150428_aP,lit_pumpkin,0,
field_150414_aQ,cake,0,
field_150413_aR,unpowered_repeater,0,
field_150416_aS,powered_repeater,0,
field_150415_aT,trapdoor,0,
field_150418_aU,monster_egg,0,
field_150417_aV,stonebrick,0,
field_150420_aW,brown_mushroom_block,0,
field_150419_aX,red_mushroom_block,0,
field_150411_aY,iron_bars,0,
field_150410_aZ,glass_pane,0,
field_150478_aa,torch,0,
field_150480_ab,fire,0,
field_150474_ac,mob_spawner,0,
field_150476_ad,oak_stairs,0,
field_150486_ae,chest,0,
field_150488_af,redstone_wire,0,
field_150482_ag,diamond_ore,0,
field_150484_ah,diamond_block,0,
field_150462_ai,crafting_table,0,
field_150464_aj,wheat,0,
field_150458_ak,farmland,0,
field_150460_al,furnace,0,
field_150470_am,lit_furnace,0,
field_150472_an,standing_sign,0,
field_150466_ao,wooden_door,0,
field_150468_ap,ladder,0,
field_150448_aq,rail,0,
field_150446_ar,stone_stairs,0,
field_150444_as,wall_sign,0,
field_150442_at,lever,0,
field_150456_au,stone_pressure_plate,0,
field_150454_av,iron_door,0,
field_150452_aw,wooden_pressure_plate,0,
field_150450_ax,redstone_ore,0,
field_150439_ay,lit_redstone_ore,0,
field_150437_az,unlit_redstone_torch,0,
field_150348_b,stone,0,
field_150412_bA,emerald_ore,0,
field_150477_bB,ender_chest,0,
field_150479_bC,tripwire_hook,0,
field_150473_bD,tripwire,0,
field_150475_bE,emerald_block,0,
field_150485_bF,spruce_stairs,0,
field_150487_bG,birch_stairs,0,
field_150481_bH,jungle_stairs,0,
field_150483_bI,command_block,0,
field_150461_bJ,beacon,0,
field_150463_bK,cobblestone_wall,0,
field_150457_bL,flower_pot,0,
field_150459_bM,carrots,0,
field_150469_bN,potatoes,0,
field_150471_bO,wooden_button,0,
field_150465_bP,skull,0,
field_150467_bQ,anvil,0,
field_150447_bR,trapped_chest,0,
field_150445_bS,light_weighted_pressure_plate,0,
field_150443_bT,heavy_weighted_pressure_plate,0,
field_150441_bU,unpowered_comparator,0,
field_150455_bV,powered_comparator,0,
field_150453_bW,daylight_detector,0,
field_150451_bX,redstone_block,0,
field_150449_bY,quartz_ore,0,
field_150438_bZ,hopper,0,
field_150440_ba,melon_block,0,
field_150393_bb,pumpkin_stem,0,
field_150394_bc,melon_stem,0,
field_150395_bd,vine,0,
field_150396_be,fence_gate,0,
field_150389_bf,brick_stairs,0,
field_150390_bg,stone_brick_stairs,0,
field_150391_bh,mycelium,0,
field_150392_bi,waterlily,0,
field_150385_bj,nether_brick,0,
field_150386_bk,nether_brick_fence,0,
field_150387_bl,nether_brick_stairs,0,
field_150388_bm,nether_wart,0,
field_150381_bn,enchanting_table,0,
field_150382_bo,brewing_stand,0,
field_150383_bp,cauldron,0,
field_150384_bq,end_portal,0,
field_150378_br,end_portal_frame,0,
field_150377_bs,end_stone,0,
field_150380_bt,dragon_egg,0,
field_150379_bu,redstone_lamp,0,
field_150374_bv,lit_redstone_lamp,0,
field_150373_bw,double_wooden_slab,0,
field_150376_bx,wooden_slab,0,
field_150375_by,cocoa,0,
field_150372_bz,sandstone_stairs,0,
field_150349_c,grass,0,
field_150371_ca,quartz_block,0,
field_150370_cb,quartz_stairs,0,
field_150408_cc,activator_rail,0,
field_150409_cd,dropper,0,
field_150406_ce,stained_hardened_clay,0,
field_150407_cf,hay_block,0,
field_150404_cg,carpet,0,
field_150405_ch,hardened_clay,0,
field_150402_ci,coal_block,0,
field_150403_cj,packed_ice,0,
field_150400_ck,acacia_stairs,0,
field_150401_cl,dark_oak_stairs,0,
field_150398_cm,double_plant,0,
field_150399_cn,stained_glass,0,
field_150397_co,stained_glass_pane,0,
field_150346_d,dirt,0,
field_150347_e,cobblestone,0,
field_150344_f,planks,0,
field_150345_g,sapling,0,
field_150357_h,bedrock,0,
field_150358_i,flowing_water,0,
field_150355_j,water,0,
field_150356_k,flowing_lava,0,
field_150353_l,lava,0,
field_150354_m,sand,0,
field_150351_n,gravel,0,
field_150352_o,gold_ore,0,
field_150366_p,iron_ore,0,
field_150365_q,coal_ore,0,
field_150364_r,log,0,
field_150363_s,log2,0,
field_150362_t,leaves,0,
field_150361_u,leaves2,0,
field_150360_v,sponge,0,
field_150359_w,glass,0,
field_150369_x,lapis_ore,0,
field_150368_y,lapis_block,0,
field_150367_z,dispenser,0,
field_150841_b,dispenseBehavior,0,
field_150843_b,fallback,0,
field_150840_b,dispenseBehavior,0,
field_151355_a,alreadyRegistered,0,"Whether the blocks, items, etc have already been registered"
field_150836_b,stack,0,
field_150837_c,parent,0,
field_151009_A,mushroom_stew,0,
field_151010_B,golden_sword,0,
field_151011_C,golden_shovel,0,
field_151005_D,golden_pickaxe,0,
field_151006_E,golden_axe,0,
field_151007_F,string,0,
field_151008_G,feather,0,
