searge,name,side,desc
func_151353_a,registerDispenserBehaviors,0,
func_151354_b,register,0,"Registers blocks, items, stats, etc."
func_75843_a,format,0,Formats a given stat for human consumption.
func_75997_a,init,0,A stub functions called to make the static initializer for this class run.
func_150882_a,readStatFile,0,
func_150881_a,parseJson,0,
func_150880_a,dumpJson,0,
func_150876_a,sendStats,0,
func_150883_b,saveStatFile,0,
func_150884_b,sendAchievements,0,
func_150878_c,getDirty,0,
func_150877_d,markAllDirty,0,
func_150879_e,hasUnsentAchievement,0,
func_151178_a,init,0,
func_151177_a,getOneShotStat,0,
func_151182_a,getStatKillEntity,0,
func_75924_a,replaceAllSimilarBlocks,0,Forces all dual blocks to count for each other on the stats list
func_151180_a,mergeStatBases,0,Merge {@link StatBase} object references for similar blocks
func_75918_d,initCraftableStats,0,Initializes statistics related to craftable items. Is only called after both block and item stats have been initialized.
func_151176_b,getStatEntityKilledBy,0,
func_151181_c,initMiningStats,0,
func_75925_c,initStats,0,
func_151179_e,initItemDepleteStats,0,
func_150959_a,getItem,0,
func_74535_a,formatString,0,Formats the strings based on 'IStatStringFormat' interface.
func_75968_a,format,0,
func_150953_b,setSerializableClazz,0,
func_75967_d,isAchievement,0,Returns whether or not the StatBase-derived class is a statistic (running counter) or an achievement (one-shot).
func_150951_e,getStatName,0,
func_75971_g,registerStat,0,Register the stat into StatList.
func_75966_h,initIndependentStat,0,"Initializes the current stat as independent (i.e., lacking prerequisites for being updated) and returns the current instance."
func_150955_j,createChatComponent,0,1.8.9
func_150952_k,getCriteria,0,1.8.9
func_150954_l,getSerializableClazz,0,
func_77443_a,hasAchievementUnlocked,0,Returns true if the achievement has been unlocked.
func_77444_a,writeStat,0,Reads the given stat and returns its value as an int.
func_150872_a,setProgress,0,
func_150873_a,unlockAchievement,0,Triggers the logging of an achievement and attempts to announce to server
func_77442_b,canUnlockAchievement,0,"Returns true if the parent has been unlocked, or there is no parent"
func_150870_b,getProgress,0,
func_150871_b,increaseStat,0,
func_150874_c,countRequirementsUntilAvailable,0,
func_75988_a,setStatStringFormatter,0,Defines a string formatter for the achievement.
func_75987_b,setSpecial,0,"Special achievements have a 'spiked' (on normal texture pack) frame, special achievements are the hardest ones to achieve."
func_75989_e,getDescription,0,Returns the fully description of the achievement - ready to be displayed on screen.
func_75984_f,getSpecial,0,"Special achievements have a 'spiked' (on normal texture pack) frame, special achievements are the hardest ones to achieve."
func_150686_a,shouldAllowInChat,0,Indicates whether this event can be run from chat text.
func_150684_a,getValueByCanonicalName,0,Gets a value by its canonical name.
func_150685_b,getCanonicalName,0,"Gets the canonical name for this action (e.g., ""show_achievement"")"
func_150674_a,shouldAllowInChat,0,Indicates whether this event can be run from chat text.
func_150672_a,getValueByCanonicalName,0,Gets a value by its canonical name.
func_150673_b,getCanonicalName,0,"Gets the canonical name for this action (e.g., ""run_command"")"
func_150701_a,getAction,0,Gets the action to perform when this event is raised.
func_150702_b,getValue,0,"Gets the value to perform the action on when this event is raised.  For example, if the action is ""show item"", this would be the item to show."
func_150669_a,getAction,0,Gets the action to perform when this event is raised.
func_150668_b,getValue,0,"Gets the value to perform the action on when this event is raised.  For example, if the action is ""open URL"", this would be the URL to open."
func_82810_a,createHangingEntity,0,Create the hanging entity associated to this item.
func_150913_i,getToolMaterial,0,
func_77861_e,getToolMaterialName,0,Return the name for this tool's material.
func_150936_a,onPlace,0,
func_150912_a,loadMapData,0,
func_77873_a,getMapData,0,
func_77872_a,updateMapData,0,
